### forebay from storage, i.e., FB from V
FB_V_bkpt_GMS
    FB_bkpt	V_bkpt	
3	-1.1091	0.45214
4	-1.01982	0.80326
5	-1.3042	1.21467
6	-1.20647	1.44993
7	-1.11933	1.66376
8	-0.68192	2.03882
9	-0.71506	2.18117
10	0	0


QT_bkpt_intercept	
	GMS	MCA
1	0	0
2	208.71707	136.011
3	1393.69045	208.717
4	1496.05889	180.674
5	1844.97851	105.244
6	1939.31331	165.155
7	2041.26394	239.998
8	1900.66491	63.4105
9	2076.33192	69.7862
10	2039.644	1895.98

##########################


V_now_HPG_intercept_month
	GMS	MCA
Jan	-39877	12095
Feb	-25659	9016
Mar	-26400	15570
Apr	-7204	5949
May	3199	-890
Jun	2192	-410
Jul	10834	39065
Aug	-19601	50279
Sep	-3038	-2055
Oct	2445	5693
Nov	-777	-9109
Dec	-33390	5761


V_now_HPG_slope_initial_month
	GMS	MCA	
Jan	1.00317	0.82953
Feb	0.96324	0.84784
Mar	0.96612	0.85289
Apr	0.90084	0.90041
May	0.94046	1.00006
Jun	0.97518	0.99805
Jul	0.90856	0.85433
Aug	0.95315	0.78240
Sep	0.92225	0.95106
Oct	0.90329	0.95166
Nov	0.89573	0.95228
Dec	0.98363	0.87845


V_now_HPG_slope_inflow_month
	GMS	MCA
Jan	0.000	0.000
Feb	0.000	0.000
Mar	0.000	0.000
Apr	25.832	32.588
May	30.249	31.003
Jun	29.013	29.940
Jul	28.816	24.751
Aug	30.954	19.104
Sep	27.995	25.862
Oct	27.113	20.807
Nov	26.612	30.104
Dec	0.000	0.000

